mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
52863.88300,-10.91666,0.01310,-10.38366,0.01920,-10.42866,0.01820,-10.21666,0.02220,SMARTS
52871.82900,-10.84166,0.01670,-10.38766,0.02390,-10.45966,0.02190,-10.24766,0.02510,SMARTS
52877.84300,-10.84766,0.01200,-10.37166,0.01700,-10.35066,0.01700,-10.23466,0.01800,SMARTS
52884.78400,-10.84066,0.01200,-10.36266,0.01800,-10.35966,0.01700,-10.16766,0.01900,SMARTS
52891.82700,-10.80966,0.01680,-10.32666,0.02580,-10.33566,0.02400,-10.20666,0.02610,SMARTS
52899.84300,-10.81066,0.01200,-10.28766,0.01800,-10.30866,0.01700,-10.18166,0.01900,SMARTS
52906.84800,-10.79766,0.01770,-10.28666,0.02240,-10.27566,0.02260,-10.14666,0.02420,SMARTS
52916.80300,-10.78966,0.01590,-10.29566,0.02170,-10.30766,0.02100,-10.08466,0.02370,SMARTS
52919.82800,-10.80466,0.01300,-10.25666,0.02000,-10.28266,0.01900,-10.12766,0.02100,SMARTS
52926.78000,-10.79566,0.01200,-10.27966,0.01800,-10.37766,0.01600,-10.15266,0.01900,SMARTS
52937.67200,-10.82366,0.01150,-10.28866,0.01670,-10.31066,0.01580,-10.10766,0.01800,SMARTS
52941.68900,-10.77166,0.01590,-10.28766,0.02040,-10.32266,0.01960,-10.14166,0.02200,SMARTS
52947.69800,-10.79766,0.01100,-10.25966,0.01600,-10.30066,0.01600,-10.10666,0.01800,SMARTS
52954.71100,-10.75966,0.04120,-10.18966,0.05960,-10.20566,0.05820,-10.14166,0.06080,SMARTS
52958.74200,-10.80266,0.01200,-10.22466,0.01800,-10.24866,0.01700,-10.16266,0.01800,SMARTS
52961.68200,-10.77766,0.01440,-10.26966,0.02080,-10.24866,0.02000,-10.08566,0.02230,SMARTS
52962.68000,-10.78566,0.01160,-10.28166,0.01590,-10.28066,0.01590,-10.10366,0.01800,SMARTS
52965.63000,-10.82166,0.01200,-10.27166,0.01900,-10.21166,0.01900,-10.07266,0.02100,SMARTS
52967.63700,-10.80466,0.01580,-10.24266,0.02270,-10.29766,0.02110,-10.10166,0.02360,SMARTS
52972.61900,-10.76666,0.02350,-10.24566,0.03080,-10.25766,0.03030,-10.04066,0.03390,SMARTS
52975.66900,-10.80766,0.01360,-10.24066,0.01850,-10.29266,0.01760,-10.11866,0.01980,SMARTS
52979.63200,-10.80566,0.01200,-10.32566,0.01900,-10.26266,0.01900,-10.09066,0.02200,SMARTS
52982.68200,-10.82766,0.01800,-10.17666,0.03200,-10.17366,0.03200,-10.08766,0.03500,SMARTS
52986.63400,-10.81566,0.01510,-10.29366,0.01920,-10.29766,0.01920,-10.08866,0.02180,SMARTS
52993.66400,-10.83866,0.01270,-10.29166,0.01750,-10.29966,0.01750,-10.12166,0.01900,SMARTS
53000.68400,-10.83566,0.01500,-10.31466,0.01910,-10.30566,0.01910,-10.11466,0.02160,SMARTS
53013.31700,-10.84566,0.01000,-10.32166,0.01500,-10.30666,0.01500,-10.13566,0.01700,SMARTS
53021.61200,-10.87366,0.01410,-10.28166,0.02150,-10.27666,0.01990,-10.14266,0.02210,SMARTS
53023.08418,-10.90589,0.01505,-10.28009,0.01505,-10.30849,0.01505,-10.13624,0.01505,Euler
53028.61900,-10.88466,0.01480,-10.31166,0.02030,-10.31666,0.01970,-10.17866,0.02180,SMARTS
53029.09476,-10.92294,0.01124,-10.28967,0.01124,-10.32618,0.01124,-10.13765,0.01124,Euler
53031.08728,-10.90150,0.00942,-10.28546,0.00942,-10.33602,0.00942,-10.18129,0.00942,Euler
53033.07764,-10.90983,0.00786,-10.30287,0.00786,-10.34048,0.00786,-10.15282,0.00786,Euler
53035.61400,-10.89966,0.01100,-10.30066,0.01800,-10.32666,0.01700,-10.19166,0.01900,SMARTS
53038.59200,-10.90466,0.01000,-10.34566,0.01500,-10.34466,0.01400,-10.19566,0.01600,SMARTS
53041.61800,-10.88866,0.01490,-10.30966,0.02400,-10.34166,0.02310,-10.17866,0.02610,SMARTS
53045.65300,-10.92666,0.02570,-10.32666,0.03960,-10.24066,0.03960,-10.22666,0.04060,SMARTS
53048.61600,-10.88566,0.01720,-10.29666,0.02290,-10.28566,0.02250,-10.22866,0.02360,SMARTS
53053.58100,-10.86166,0.01730,-10.30066,0.02230,-10.28366,0.02250,-10.21866,0.02360,SMARTS
53054.57600,-10.88166,0.01480,-10.26666,0.02050,-10.26266,0.02060,-10.24466,0.02080,SMARTS
53057.52800,-10.84466,0.01100,-10.29366,0.01700,-10.27166,0.01600,-10.20666,0.01700,SMARTS
53061.53900,-10.84366,0.01200,-10.27866,0.01900,-10.27166,0.01800,-10.18766,0.01900,SMARTS
53066.57700,-10.87966,0.01670,-10.20766,0.02880,-10.21766,0.02700,-10.18566,0.02700,SMARTS
53067.59700,-10.85366,0.01200,-10.27066,0.01900,-10.27766,0.01800,-10.17466,0.02000,SMARTS
53068.05512,-10.86986,0.08326,-10.27506,0.08326,-10.31143,0.08326,-10.16812,0.08326,Euler
53069.53300,-10.82466,0.01500,-10.29066,0.02220,-10.27066,0.02140,-10.16766,0.02340,SMARTS
53073.53300,-10.82166,0.01300,-10.22466,0.02000,-10.29366,0.01800,-10.13766,0.02100,SMARTS
53076.50500,-10.81566,0.01200,-10.25366,0.01800,-10.26366,0.01800,-10.16366,0.01900,SMARTS
53081.55300,-10.85266,0.01300,-10.26766,0.02100,-10.24166,0.02000,-10.12566,0.02100,SMARTS
53087.49400,-10.80866,0.01300,-10.22066,0.02100,-10.25466,0.01900,-10.14066,0.02100,SMARTS
53094.50000,-10.81966,0.01100,-10.22066,0.01700,-10.22366,0.01700,-10.15366,0.01800,SMARTS
53098.51100,-10.80266,0.02150,-10.18666,0.03410,-10.20666,0.03240,-10.14066,0.03370,SMARTS
53102.47900,-10.81966,0.01590,-10.17066,0.02610,-10.22566,0.02330,-10.10866,0.02630,SMARTS
53105.48500,-10.79366,0.01200,-10.22266,0.01800,-10.23466,0.01700,-10.09566,0.01900,SMARTS
53237.88400,-10.90266,0.01230,-10.32566,0.01940,-10.31366,0.01850,-10.12166,0.02070,SMARTS
53240.85900,-10.89466,0.01200,-10.31766,0.01900,-10.33666,0.01700,-10.11366,0.02000,SMARTS
53245.86000,-10.89366,0.01200,-10.34766,0.01800,-10.34466,0.01700,-10.18866,0.01900,SMARTS
53251.81000,-10.90966,0.01310,-10.33966,0.02210,-10.36966,0.02010,-10.18566,0.02320,SMARTS
53258.83300,-10.87266,0.01340,-10.36966,0.01730,-10.36766,0.01730,-10.16066,0.01960,SMARTS
53263.79300,-10.89066,0.01260,-10.32766,0.01670,-10.34266,0.01590,-10.16266,0.01810,SMARTS
53267.83600,-10.87066,0.01200,-10.35966,0.01700,-10.34466,0.01600,-10.17666,0.01800,SMARTS
53270.17236,-10.91028,0.01248,-10.29272,0.01248,-10.30325,0.01248,-10.17093,0.01248,Mercator
53270.81600,-10.89666,0.01260,-10.35466,0.01660,-10.34466,0.01660,-10.16866,0.01880,SMARTS
53273.78700,-10.85466,0.01200,-10.35666,0.01700,-10.37166,0.01600,-10.20066,0.01900,SMARTS
53274.16612,-10.90136,0.01232,-10.31759,0.01232,-10.30514,0.01232,-10.15071,0.01232,Mercator
53275.19232,-10.90378,0.01137,-10.31610,0.01137,-10.27250,0.01137,-10.17620,0.01137,Mercator
53280.17352,-10.87400,0.00720,-10.34480,0.00720,-10.26513,0.00720,-10.10879,0.00720,Mercator
53282.14652,-10.87697,0.00312,-10.31020,0.00312,-10.31959,0.00312,-10.16058,0.00312,Mercator
53282.70500,-10.86266,0.01100,-10.36366,0.01500,-10.35066,0.01500,-10.14266,0.01800,SMARTS
